n	ne	e	se	s	sw	w	nw	c	distance	1-live	1-kitchen	2-live	2-kitchen	3-live	3-kitchen	4-live	4-kitchen	1	last	any	n-floor	kirpich	panel	block	price
0	0	0	1	0	0	0	0	0	0,403600533	0	0	0	0	0	0	0,015957447	0,285714286	0	0	1	0,9	0	1	0	5076
0	0	0	1	0	0	0	0	0	0,403600533	0	0	0	0	0	0	0,026595745	0,428571429	0	0	1	0,9	0	1	0	4776
0	0	0	1	0	0	0	0	0	0,172539666	0	0	0	0	0	0	0	0,214285714	1	0	0	0,9	0	1	0	3695
0	0	0	1	0	0	0	0	0	0,033960463	0	0	0	0	0	0	0,026595745	0,357142857	0	1	0	0,9	0	1	0	4477
0	0	0	1	0	0	0	0	0	0,638606877	0	0	0,661764706	0,4	0	0	0	0	0	0	1	0,9	0	0	1	3857
0	0	0	1	0	0	0	0	0	0,277008083	0	0	0,602941176	0,2	0	0	0	0	0	0	1	0,8	0	0	1	3904
0	0	0	1	0	0	0	0	0	0,017457611	0	0	0,691176471	0,333333333	0	0	0	0	0	0	1	0,8	0	0	1	3037
0	0	0	1	0	0	0	0	0	0,796088097	0,885714286	0,2	0	0	0	0	0	0	0	0	1	0,4	0	0	1	5714
0	0	0	1	0	0	0	0	0	0,338916078	1	0,3	0	0	0	0	0	0	0	1	0	0,2	0	0	1	3733
0	0	0	1	0	0	0	0	0	0,056759274	0,914285714	0,1	0	0	0	0	0	0	1	0	0	0,4	0	0	1	3105
0	0	0	1	0	0	0	0	0	0,30481377	0	0	0	0	0,027027027	0,066666667	0	0	0	1	0	0,2	0	0	1	3750
0	0	0	1	0	0	0	0	0	0,152512561	0	0	0	0	0,081081081	0,333333333	0	0	0	0	1	0,5	0	0	1	3750
0	0	0	1	0	0	0	0	0	0,455650637	0	0	0	0	0	0	0,085106383	0,214285714	0	1	0	0,9	0	0	1	4294
0	0	0	1	0	0	0	0	0	0,455019408	0	0	0	0	0	0	0,079787234	0,214285714	0	0	1	0,9	0	0	1	4155
0	0	0	1	0	0	0	0	0	0,438910895	0	0	0	0	0	0	0,095744681	0,285714286	0	0	1	0,9	0	0	1	4375
0	0	0	1	0	0	0	0	0	0,403600533	0	0	0	0	0	0	0,132978723	0,285714286	0	0	1	0,9	0	0	1	4482
0	0	0	1	0	0	0	0	0	0,353553387	0	0	0	0	0	0	0,319148936	1	0	0	1	0,9	0	0	1	4016
0	0	0	0	1	0	0	0	0	0,620713743	0	0	0,102941176	0,266666667	0	0	0	0	0	0	1	0,8	1	0	0	4358
0	0	0	0	1	0	0	0	0	0,281069727	0	0	0,058823529	0,066666667	0	0	0	0	0	0	1	0,4	1	0	0	3750
0	0	0	0	1	0	0	0	0	0,037525106	0	0	0,117647059	0,266666667	0	0	0	0	1	0	0	0,5	1	0	0	3250
0	0	0	0	1	0	0	0	0	0,646624463	0,171428571	0	0	0	0	0	0	0	0	0	1	0,2	1	0	0	4354
0	0	0	0	1	0	0	0	0	0,393381219	0,342857143	0,3	0	0	0	0	0	0	0	0	1	1	1	0	0	4594
0	0	0	0	1	0	0	0	0	0,072042895	0,428571429	0,3	0	0	0	0	0	0	0	0	1	1	1	0	0	3875
0	0	0	0	1	0	0	0	0	0,556710806	0	0	0	0	0	0	0	0	0	0	1	0,4	1	0	0	4354
0	0	0	0	1	0	0	0	0	0,407536162	0	0	0	0	0	0	0	0	0	1	0	0,4	1	0	0	4375
0	0	0	0	1	0	0	0	0	0,279128237	0	0	0	0	0	0,333333333	0	0	0	0	1	1	1	0	0	4128
0	0	0	0	1	0	0	0	0	0,112266544	0	0	0	0	0	0,333333333	0	0	0	0	1	0,5	1	0	0	4722
0	0	0	0	1	0	0	0	0	0,436181349	0	0	0	0	0	0	0	0,142857143	0	0	1	0,9	1	0	0	4342
0	0	0	0	1	0	0	0	0	0,436181349	0	0	0	0	0	0	0	0,142857143	0	0	1	0,9	1	0	0	5000
0	0	0	0	1	0	0	0	0	0,189202096	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	3923
0	0	0	0	1	0	0	0	0	0,189202096	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	4487
0	0	0	0	1	0	0	0	0	0,183010709	0	0	0	0	0	0	0	0,428571429	0	0	1	0,9	1	0	0	4125
0	0	0	0	1	0	0	0	0	0,183010709	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	3783
0	0	0	0	1	0	0	0	0	0,183010709	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	4125
0	0	0	0	1	0	0	0	0	0,183010709	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	4250
0	0	0	0	1	0	0	0	0	0,132402289	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	3944
0	0	0	0	1	0	0	0	0	0,132402289	0	0	0	0	0	0	0	0,214285714	0	0	1	0,9	1	0	0	3846
0	0	0	0	1	0	0	0	0	0,712518805	0	0	0,323529412	0,266666667	0	0	0	0	0	0	1	0,8	0	1	0	5092
0	0	0	0	1	0	0	0	0	0,296067899	0	0	0,323529412	0,2	0	0	0	0	0	0	1	1	0	1	0	4259
0	0	0	0	1	0	0	0	0	0,038234	0	0	0,176470588	0,066666667	0	0	0	0	0	0	1	0,4	0	1	0	3863
0	0	0	0	1	0	0	0	0	0,633756258	0,542857143	0,1	0	0	0	0	0	0	0	0	1	0,2	0	1	0	4545
0	0	0	0	1	0	0	0	0	0,374230743	0,542857143	0,1	0	0	0	0	0	0	0	0	1	0,4	0	1	0	4363
0	0	0	0	1	0	0	0	0	0,216584211	0,457142857	0,1	0	0	0	0	0	0	0	1	0	0,2	0	1	0	4024
0	0	0	0	1	0	0	0	0	0,074583482	0,885714286	0,3	0	0	0	0	0	0	0	0	1	1	0	1	0	3750
