score	c1	c2	c3	tc	domain_level	own_mp3 	forum	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album	page_count	total_mp3	good_mp3	av_mp3	av_good	av_author	av_album
3	0.017	0.267	0.376	0	0.613	0	0	0.113	0.051	0.068	0.257	0.068	0.387	0.95	0.051	0.052	0.002	0.45	0.068	0.387	0.95	0.051	0.052	0.002	0.284	0.068	0.387	0.95
1	0.053	0.026	0.401	0	0.613	0	1	0.428	0.055	0.104	0.428	0.068	0.95	0.387	0.053	0.058	0.006	0.283	0.068	0.95	0.387	0.053	0.058	0.006	0.43	0.068	0.95	0.387
2	0.015	0.522	0.449	1	0.613	0	1	0.05	0.95	0.95	0.977	0.084	0.908	0.921	0.464	0.95	0.95	0.078	0.084	0.908	0.921	0.464	0.95	0.95	0.916	0.084	0.908	0.921
2	0.015	0.522	0.449	1	0.613	0	1	0.05	0.95	0.95	0.977	0.084	0.908	0.921	0.464	0.95	0.95	0.078	0.084	0.908	0.921	0.464	0.95	0.95	0.916	0.084	0.908	0.921
3	0.034	0.062	0.677	0	0.613	0	1	0.05	0.95	0.95	0.997	0.082	0.95	0.935	0.188	0.95	0.511	0.067	0.082	0.95	0.935	0.188	0.95	0.511	0.953	0.082	0.95	0.935
3	0.034	0.062	0.677	0	0.613	0	1	0.05	0.95	0.95	0.997	0.082	0.95	0.935	0.188	0.95	0.511	0.067	0.082	0.95	0.935	0.188	0.95	0.511	0.953	0.082	0.95	0.935
3	0.034	0.062	0.677	0	0.613	0	1	0.05	0.95	0.95	0.997	0.082	0.95	0.935	0.188	0.95	0.511	0.067	0.082	0.95	0.935	0.188	0.95	0.511	0.953	0.082	0.95	0.935
3	0.047	0.346	0.56	0	0.613	0	1	0.05	0.95	0.95	0.113	0.057	0.95	0.95	0.95	0.95	0.95	0.95	0.057	0.95	0.95	0.95	0.95	0.95	0.143	0.057	0.95	0.95
3	0.514	0.262	0.185	1	0.613	0	1	0.053	0.95	0.95	0.973	0.096	0.734	0.789	0.088	0.341	0.203	0.08	0.096	0.734	0.789	0.088	0.341	0.203	0.911	0.096	0.734	0.789
3	0.025	0.119	0.725	1	0.613	0	1	0.05	0.95	0.95	0.113	0.055	0.95	0.95	0.95	0.95	0.768	0.95	0.055	0.95	0.95	0.95	0.95	0.768	0.143	0.055	0.95	0.95
3	0.025	0.119	0.725	1	0.613	0	1	0.05	0.95	0.95	0.113	0.055	0.95	0.95	0.95	0.95	0.768	0.95	0.055	0.95	0.95	0.95	0.95	0.768	0.143	0.055	0.95	0.95
2	0.013	0.182	0.619	1	0.05	0	1	0.05	0.95	0.95	0.258	0.066	0.889	0.764	0.95	0.95	0.95	0.448	0.066	0.889	0.764	0.95	0.95	0.95	0.285	0.066	0.889	0.764
3	0.013	0.182	0.619	1	0.05	0	1	0.05	0.95	0.95	0.258	0.066	0.889	0.764	0.95	0.95	0.95	0.448	0.066	0.889	0.764	0.95	0.95	0.95	0.285	0.066	0.889	0.764
3	0.214	0.331	0.442	1	0.613	0	1	0.113	0.052	0.068	0.597	0.068	0.106	0.2	0.051	0.054	0.002	0.2	0.068	0.106	0.2	0.051	0.054	0.002	0.567	0.068	0.106	0.2
1	0.047	0.346	0.56	0	0.613	0	1	0.05	0.95	0.95	0.438	0.069	0.455	0.54	0.95	0.95	0.95	0.278	0.069	0.455	0.54	0.95	0.95	0.95	0.437	0.069	0.455	0.54
1	0.272	0.309	0.407	1	0.613	0	1	0.05	0.95	0.95	0.994	0.099	0.347	0.912	0.95	0.95	0.95	0.069	0.099	0.347	0.912	0.95	0.95	0.95	0.946	0.099	0.347	0.912
3	0.272	0.309	0.407	1	0.613	0	1	0.05	0.95	0.95	0.994	0.099	0.347	0.912	0.95	0.95	0.95	0.069	0.099	0.347	0.912	0.95	0.95	0.95	0.946	0.099	0.347	0.912
3	0.047	0.346	0.56	0	0.613	0	1	0.428	0.058	0.158	0.785	0.086	0.95	0.2	0.053	0.064	0.011	0.138	0.086	0.95	0.2	0.053	0.064	0.011	0.723	0.086	0.95	0.2
3	0.137	0.354	0.502	1	0.613	0	1	0.05	0.95	0.95	0.118	0.059	0.908	0.95	0.421	0.435	0.383	0.913	0.059	0.908	0.95	0.421	0.435	0.383	0.148	0.059	0.908	0.95
3	0.137	0.354	0.502	1	0.613	0	1	0.05	0.95	0.95	0.118	0.059	0.908	0.95	0.421	0.435	0.383	0.913	0.059	0.908	0.95	0.421	0.435	0.383	0.148	0.059	0.908	0.95
3	0.137	0.354	0.502	1	0.613	0	1	0.05	0.95	0.95	0.118	0.059	0.908	0.95	0.421	0.435	0.383	0.913	0.059	0.908	0.95	0.421	0.435	0.383	0.148	0.059	0.908	0.95
3	0.21	0.219	0.56	1	0.05	0	1	0.356	0.076	0.509	0.329	0.072	0.288	0.464	0.069	0.096	0.048	0.362	0.072	0.288	0.464	0.069	0.096	0.048	0.347	0.072	0.288	0.464
3	0.148	0.372	0.474	1	0.613	0	1	0.053	0.95	0.95	0.521	0.08	0.535	0.679	0.087	0.18	0.13	0.233	0.08	0.535	0.679	0.087	0.18	0.13	0.505	0.08	0.535	0.679
3	0.007	0.243	0.622	1	0.613	0	0	0.523	0.059	0.158	0.113	0.056	0.95	0.95	0.066	0.066	0.011	0.95	0.056	0.95	0.95	0.066	0.066	0.011	0.143	0.056	0.95	0.95
3	0.007	0.243	0.622	1	0.613	0	0	0.523	0.059	0.158	0.113	0.056	0.95	0.95	0.066	0.066	0.011	0.95	0.056	0.95	0.95	0.066	0.066	0.011	0.143	0.056	0.95	0.95
2	0.215	0.027	0.351	0	0.613	0	1	0.05	0.95	0.527	0.646	0.057	0.95	0.19	0.113	0.95	0.05	0.95	0.057	0.95	0.19	0.113	0.95	0.05	0.877	0.057	0.95	0.19
3	0.047	0.346	0.56	0	0.613	0	1	0.743	0.055	0.104	0.257	0.061	0.387	0.387	0.054	0.059	0.006	0.45	0.061	0.387	0.387	0.054	0.059	0.006	0.284	0.061	0.387	0.387
3	0.106	0.314	0.564	1	0.613	0	1	0.523	0.95	0.95	0.803	0.172	0.838	0.789	0.066	0.274	0.233	0.95	0.172	0.838	0.789	0.066	0.274	0.233	0.959	0.172	0.838	0.789
3	0.304	0.316	0.361	0	0.613	0	1	0.857	0.078	0.284	0.633	0.068	0.268	0.41	0.062	0.1	0.025	0.186	0.068	0.268	0.41	0.062	0.1	0.025	0.596	0.068	0.268	0.41
2	0.134	0.705	0.144	0	0.613	0	1	0.984	0.093	0.752	0.969	0.138	0.95	0.95	0.057	0.127	0.074	0.95	0.138	0.95	0.95	0.057	0.127	0.074	0.999	0.138	0.95	0.95
2	0.335	0.315	0.325	0	0.613	0	1	0.597	0.052	0.086	0.113	0.059	0.95	0.95	0.054	0.054	0.004	0.95	0.059	0.95	0.95	0.054	0.054	0.004	0.143	0.059	0.95	0.95
3	0.106	0.314	0.564	1	0.613	0	0	0.257	0.051	0.068	0.113	0.059	0.95	0.95	0.052	0.052	0.002	0.95	0.059	0.95	0.95	0.052	0.052	0.002	0.143	0.059	0.95	0.95
3	0.106	0.314	0.564	1	0.613	0	0	0.257	0.051	0.068	0.113	0.059	0.95	0.95	0.052	0.052	0.002	0.95	0.059	0.95	0.95	0.052	0.052	0.002	0.143	0.059	0.95	0.95
1	0.335	0.315	0.325	0	0.05	0	0	0.858	0.053	0.104	0.113	0.059	0.95	0.95	0.055	0.055	0.006	0.95	0.059	0.95	0.95	0.055	0.055	0.006	0.143	0.059	0.95	0.95
