time	open	high	low	close
2008-07-28 07:17:00	1.5706	1.5710	1.5704	1.5708
2008-07-28 07:18:00	1.5708	1.5710	1.5704	1.5706
2008-07-28 07:19:00	1.5706	1.5711	1.5704	1.5708
2008-07-28 07:20:00	1.5708	1.5710	1.5705	1.5708
2008-07-28 07:21:00	1.5708	1.5711	1.5706	1.5709
2008-07-28 07:22:00	1.5709	1.5711	1.5706	1.5709
2008-07-28 07:23:00	1.5709	1.5711	1.5706	1.5708
2008-07-28 07:24:00	1.5708	1.5713	1.5707	1.5711
2008-07-28 07:25:00	1.5711	1.5712	1.5708	1.5710
2008-07-28 07:26:00	1.5710	1.5713	1.5708	1.5710
2008-07-28 07:27:00	1.5710	1.5712	1.5708	1.5710
2008-07-28 07:28:00	1.5710	1.5712	1.5707	1.5709
2008-07-28 07:29:00	1.5709	1.5711	1.5707	1.5709
2008-07-28 07:30:00	1.5709	1.5712	1.5707	1.5710
2008-07-28 07:31:00	1.5710	1.5711	1.5707	1.5709
2008-07-28 07:32:00	1.5709	1.5711	1.5706	1.5708
2008-07-28 07:33:00	1.5708	1.5710	1.5706	1.5708
2008-07-28 07:34:00	1.5708	1.5710	1.5706	1.5708
2008-07-28 07:35:00	1.5708	1.5710	1.5706	1.5708
2008-07-28 07:36:00	1.5708	1.5710	1.5706	1.5708
2008-07-28 07:37:00	1.5708	1.5713	1.5706	1.5711
2008-07-28 07:38:00	1.5711	1.5713	1.5709	1.5711
2008-07-28 07:39:00	1.5711	1.5713	1.5709	1.5711
2008-07-28 07:40:00	1.5711	1.5713	1.5709	1.5711
2008-07-28 07:41:00	1.5711	1.5713	1.5709	1.5711
2008-07-28 07:42:00	1.5711	1.5714	1.5709	1.5711
2008-07-28 07:43:00	1.5711	1.5715	1.5709	1.5713
2008-07-28 07:44:00	1.5713	1.5718	1.5711	1.5716
2008-07-28 07:45:00	1.5716	1.5718	1.5713	1.5715
2008-07-28 07:46:00	1.5715	1.5719	1.5713	1.5716
2008-07-28 07:47:00	1.5716	1.5718	1.5713	1.5715
2008-07-28 07:48:00	1.5715	1.5718	1.5713	1.5716
2008-07-28 07:49:00	1.5716	1.5718	1.5713	1.5716
2008-07-28 07:50:00	1.5716	1.5718	1.5714	1.5716
2008-07-28 07:51:00	1.5716	1.5722	1.5714	1.5720
2008-07-28 07:52:00	1.5720	1.5722	1.5717	1.5719
2008-07-28 07:53:00	1.5719	1.5721	1.5716	1.5718
2008-07-28 07:54:00	1.5718	1.5721	1.5716	1.5719
2008-07-28 07:55:00	1.5719	1.5726	1.5717	1.5722
2008-07-28 07:56:00	1.5722	1.5725	1.5720	1.5723
2008-07-28 07:57:00	1.5723	1.5725	1.5721	1.5723
2008-07-28 07:58:00	1.5723	1.5725	1.5720	1.5722
2008-07-28 07:59:00	1.5722	1.5724	1.5718	1.5720
2008-07-28 08:00:00	1.5720	1.5723	1.5718	1.5721
2008-07-28 08:01:00	1.5721	1.5723	1.5717	1.5719
